Equipo1,Equipo2,Es_Local_E1,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Eficiencia_Tiros_E1,Eficiencia_Tiros_E2,Diferencia_Goles,Resultado_E1,Equipo1_PromedioGoles,Equipo2_PromedioGoles
PSV,Union SG,1,1,3,1,0,3,0,10,3,5,2,1,1,0,0,0,18,7,7,4,0,0,0,0,2,0,0,0,0,54,2,7,0,24,14,10,4,1,1,0,1,44,0,7,8,17,11,8,12,60,86,450,526,127,279,44,78,122,115,17,48,31,5,4,1,24,220,40,78,257,331,98,129,30,51,58,54,8,32,20,8,43,6,14,217,46,4,1,23,14,9,9,14,61,2,0,27,23,4,28,33,3,0,0,4,0,0,0,1,0,1,1,1,0,0,2,0,0,0,3,2,1,1,0,0,9,4,5.0,0,0,9,1,4,6.64,7.13,0.3333333333333333,0.42857142857142855,-2,Loss,3.5,2.0
Athletic Club,Arsenal,1,0,2,0,0,2,0,11,2,4,5,0,0,0,0,2,11,6,4,1,0,0,0,0,1,0,0,0,0,34,0,2,0,10,11,9,6,2,0,0,0,41,0,2,2,24,13,10,12,40,78,232,298,36,174,22,42,60,59,17,24,15,9,25,3,12,179,60,86,414,483,53,331,30,88,108,113,18,33,12,9,19,3,16,187,49,1,0,15,6,9,23,26,40,5,0,12,6,6,13,24,2,0,0,4,0,0,0,2,1,1,0,0,0,1,2,0,0,0,2,2,0,0,1,0,18,2,5.0,3,0,15,1,3,6.32,6.75,0.0,0.3333333333333333,-2,Loss,1.5,2.5
Real Madrid,Marseille,1,2,1,2,0,1,0,28,15,8,5,1,0,1,3,4,15,5,8,2,0,0,0,3,1,0,2,0,1,55,1,9,1,26,14,13,13,1,0,0,0,30,0,4,3,16,17,8,6,44,85,348,408,118,196,34,65,84,96,14,45,31,16,50,6,12,174,56,89,472,533,193,248,31,92,124,132,10,21,15,12,44,4,9,175,34,2,0,13,7,6,10,10,37,5,2,21,11,10,18,20,1,0,0,4,0,0,0,0,0,0,0,2,0,0,13,0,0,0,3,1,2,0,3,1,9,1,1.0,2,0,14,2,9,7.21,6.43,0.13333333333333333,0.2,1,Win,1.5,1.0
Benfica,Qarabag,1,2,3,2,0,3,0,14,3,5,6,1,0,1,1,3,10,5,3,2,1,0,1,0,1,1,0,0,0,72,0,8,1,10,25,28,9,3,0,0,0,35,1,3,1,11,13,10,3,52,86,422,490,77,304,41,81,109,109,7,53,31,15,11,2,18,168,48,84,360,431,77,250,33,94,83,92,12,33,20,7,29,2,7,175,46,2,0,15,11,4,11,11,45,6,0,11,6,5,27,29,3,0,0,2,0,0,0,2,1,1,0,2,0,0,1,0,0,0,4,2,2,0,0,0,11,2,6.0,0,0,6,3,5,6.723333333333334,6.77,0.6666666666666666,0.6,-1,Loss,2.0,2.0
Juventus,BDortmund,1,4,4,3,1,2,2,18,7,6,5,0,0,0,3,2,10,5,3,2,1,0,1,2,2,4,0,0,0,47,0,4,4,16,12,13,4,2,1,0,0,32,1,2,0,7,7,7,2,50,89,445,500,84,327,34,77,122,139,8,35,25,16,32,6,19,186,50,84,394,470,49,302,43,89,106,107,15,33,24,4,0,0,5,189,46,2,1,15,5,10,15,16,34,5,0,16,1,15,17,24,4,0,0,1,0,0,0,0,0,0,1,4,0,0,3,0,0,0,2,2,0,0,0,0,13,1,4.0,1,0,8,2,4,6.723333333333334,6.77,0.5714285714285714,0.8,0,Draw,2.5,4.0
Tottenham,Villareal,1,1,0,0,0,0,0,9,1,5,3,0,0,0,1,3,11,0,6,5,0,0,0,0,3,1,0,0,0,27,0,3,1,22,10,11,6,0,0,0,0,26,0,3,1,20,5,7,3,58,86,432,502,82,306,44,83,102,119,14,38,19,8,33,6,18,179,42,81,288,356,63,197,28,45,78,73,15,24,16,8,8,1,12,179,48,5,0,25,13,12,13,18,35,3,0,15,7,8,19,25,0,0,1,0,0,0,0,4,2,2,1,1,1,0,1,0,0,0,3,2,1,3,4,0,14,1,5.0,4,0,13,2,7,6.723333333333334,6.77,1.0,0.0,1,Win,1.0,0.0
Olympiacos,Pafos,1,0,0,0,0,0,0,17,3,7,7,0,0,0,1,1,6,1,5,0,0,0,0,1,2,0,0,0,0,78,0,9,2,21,19,21,4,0,0,0,0,13,0,0,1,12,6,4,2,63,85,444,520,90,310,44,70,113,123,15,65,37,22,20,10,49,206,37,72,185,258,67,107,12,34,57,38,16,9,7,2,0,0,0,205,42,0,0,12,4,8,4,4,53,7,0,14,1,13,48,59,0,0,1,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,5,2,3,0,3,0,15,2,2.0,3,1,14,5,9,6.723333333333334,6.77,0.0,0.0,0,Draw,0.0,0.0
Slavia Praha,Bodo,1,2,2,2,0,2,0,26,10,8,8,1,0,1,1,4,12,9,1,2,0,0,0,2,0,2,0,0,0,56,1,8,5,15,10,10,9,0,0,1,1,39,3,4,0,16,13,18,1,42,78,257,331,60,170,27,48,54,55,11,30,13,21,38,11,29,217,58,80,320,399,74,216,30,67,81,94,16,42,25,13,27,3,11,224,36,2,1,24,7,17,15,20,39,8,0,11,5,6,23,34,2,0,0,7,0,0,1,1,0,1,1,2,0,0,8,0,0,0,3,2,1,1,2,0,13,4,7.0,3,0,11,2,7,6.723333333333334,6.77,0.2,0.2222222222222222,0,Draw,1.0,1.5
Paris,Atlanta,1,4,0,3,1,0,0,22,13,5,4,0,0,0,2,2,7,2,3,2,0,0,0,1,1,2,0,1,1,53,3,6,3,16,16,12,7,0,0,0,0,19,0,1,2,5,8,9,3,65,92,652,708,151,462,39,137,168,186,12,44,45,19,40,4,10,147,35,81,282,347,49,202,31,62,68,65,8,25,16,3,50,4,8,143,40,2,0,8,3,5,7,7,35,4,1,13,5,8,9,11,0,0,1,2,0,0,0,0,0,0,1,4,0,0,9,0,0,1,0,0,0,1,0,0,5,1,2.0,1,0,11,3,7,6.723333333333334,6.77,0.3076923076923077,0.0,4,Win,2.5,0.0
Bayern Munchen,Chelsea,1,3,1,2,0,1,0,16,5,7,4,0,0,0,0,4,9,3,4,2,0,0,0,1,3,1,1,0,1,46,1,6,4,9,12,9,5,1,0,0,0,42,0,2,3,12,8,5,7,57,91,509,559,189,274,46,125,121,116,9,26,24,13,12,2,16,144,43,88,384,434,138,207,39,83,102,93,17,31,22,8,17,2,12,147,29,2,0,8,2,6,15,15,25,4,1,10,2,8,9,9,1,0,0,2,0,0,0,1,1,0,0,3,1,0,3,0,0,0,2,1,1,2,3,0,12,3,5.0,2,0,7,3,4,6.723333333333334,6.77,0.6,0.3333333333333333,2,Win,3.5,1.0
Liverpool,Atleti,1,3,2,3,0,1,1,20,6,9,5,1,0,1,0,1,10,4,4,2,0,0,0,2,1,3,0,0,0,62,1,7,1,17,20,21,12,1,0,0,0,41,0,6,2,6,14,10,8,56,90,547,605,120,391,36,97,152,139,11,60,38,17,26,6,23,180,44,86,407,473,101,264,42,82,111,103,8,43,17,11,12,3,25,180,40,2,0,11,6,5,20,22,44,5,0,13,7,6,19,21,2,0,0,2,0,0,0,5,4,1,0,3,0,0,3,0,0,0,2,0,2,1,1,0,7,0,1.0,3,1,9,2,4,6.723333333333334,6.77,0.5,0.5,1,Win,2.0,1.0
Ajax,Inter,1,0,2,0,0,2,0,7,2,4,1,0,0,0,0,1,14,4,4,6,0,0,0,0,1,0,0,0,0,38,0,3,2,14,18,11,4,2,0,0,0,37,0,5,1,7,7,3,4,56,88,460,522,82,333,45,83,118,140,18,32,20,7,20,4,20,176,44,84,335,401,73,233,29,79,92,79,17,39,26,15,50,5,10,180,39,6,0,24,7,17,19,22,38,1,0,19,3,16,21,22,2,0,0,2,0,0,0,4,1,3,0,0,0,1,2,0,0,0,4,2,2,1,1,0,15,1,9.0,2,0,17,2,6,6.723333333333334,6.77,0.0,0.5,-2,Loss,0.0,3.0
Club Brugge,Monaco,1,4,1,4,0,1,0,26,9,9,8,0,0,0,1,3,13,5,5,3,0,0,0,1,4,3,0,0,0,53,2,4,0,10,13,12,10,1,0,1,1,40,1,5,1,8,18,16,2,47,84,394,468,96,252,46,74,93,105,10,36,23,16,45,5,11,166,53,86,423,491,102,293,28,92,111,106,10,39,29,13,33,3,9,160,41,3,1,18,8,10,15,19,33,8,0,11,2,9,13,15,1,0,0,4,0,0,1,2,0,2,1,4,0,0,6,0,0,0,0,0,0,1,2,0,11,3,4.0,2,0,9,2,3,6.723333333333334,6.77,0.4444444444444444,0.2,3,Win,4.0,1.0
Copengagen,Leverkursen,1,2,2,2,0,0,1,12,7,4,1,0,0,0,3,2,15,4,7,4,1,0,1,1,6,2,0,0,0,37,1,4,0,13,17,14,6,1,0,0,0,53,1,5,0,12,17,18,6,39,82,307,376,80,197,30,60,73,68,13,29,17,6,20,3,15,177,61,89,582,652,137,402,43,111,174,140,14,50,34,10,22,4,18,179,48,4,0,22,10,12,7,14,49,1,0,17,5,12,14,15,2,1,0,3,0,0,0,1,0,1,2,2,0,0,5,1,0,0,1,1,0,0,3,0,14,4,6.0,2,0,13,3,6,6.723333333333334,6.77,0.2857142857142857,0.5,0,Draw,2.0,2.0
Man City,Napoli,1,2,0,2,0,0,0,22,7,9,6,0,0,0,3,2,1,1,0,0,0,0,0,0,0,2,0,0,0,96,0,9,1,16,39,49,10,0,0,0,0,18,0,2,1,7,5,2,1,69,94,766,819,127,596,43,154,238,227,5,87,103,21,29,8,28,144,31,83,230,277,30,182,18,56,57,62,4,15,6,5,29,2,7,141,24,0,0,7,4,3,3,3,30,6,0,11,9,2,20,27,0,0,1,1,0,0,0,3,1,2,0,2,0,0,6,0,0,0,5,2,3,3,0,0,3,0,0.0,1,1,4,2,3,6.723333333333334,6.77,0.2857142857142857,0.0,2,Win,2.0,1.0
Frankfurt,Galatasaray,1,5,1,4,0,1,0,12,6,2,4,0,0,0,2,0,14,5,6,3,0,0,0,2,2,5,0,0,0,31,0,4,1,9,12,11,7,1,0,0,0,39,0,3,0,9,16,14,1,41,76,258,338,61,174,23,58,80,45,14,18,8,9,27,4,15,172,59,87,467,535,100,318,49,101,111,125,10,43,21,10,25,4,16,168,36,3,0,10,2,8,12,17,36,5,0,11,1,10,20,22,1,0,0,4,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,10,2,5.0,1,0,13,1,4,6.723333333333334,6.77,0.8333333333333334,0.2,4,Win,3.0,1.0
Sporting CP,Kairat Almaty,1,4,1,3,1,1,0,21,8,8,5,1,0,1,2,4,9,4,2,3,0,0,0,2,2,3,0,1,1,64,4,8,0,30,21,21,14,1,0,0,0,19,0,3,1,5,10,12,3,63,86,497,581,120,330,47,112,123,125,11,58,32,13,18,4,22,186,37,76,237,312,58,156,23,48,49,58,14,21,13,5,22,2,9,186,50,3,0,9,2,7,10,10,44,5,1,21,8,13,25,28,1,0,0,3,0,0,0,2,1,1,0,4,0,0,4,0,0,1,1,0,1,1,4,0,14,1,5.0,2,0,11,4,5,6.723333333333334,6.77,0.5,0.25,3,Win,3.0,1.0
Newcastle,Barcelona,1,1,2,1,0,1,1,9,5,1,3,0,0,0,3,0,19,5,8,6,0,0,0,1,2,1,0,0,0,47,0,6,3,16,8,3,9,1,0,0,0,49,0,4,0,15,21,20,11,39,74,215,291,72,112,31,34,54,44,12,21,16,17,33,8,24,202,61,88,472,539,217,223,32,100,119,119,14,45,36,11,22,2,9,203,40,6,0,8,2,6,23,23,29,3,0,18,7,11,19,24,2,0,0,3,0,0,0,3,1,2,0,1,0,0,4,0,0,0,5,2,3,1,3,0,11,3,6.0,4,0,12,2,4,6.723333333333334,6.77,0.2,0.4,-1,Loss,2.0,2.0
Atlanta,Club Brugge,1,2,1,2,0,1,0,20,2,11,7,0,0,0,0,4,7,2,4,1,0,0,0,1,2,1,1,0,1,53,0,7,1,16,18,21,13,1,0,0,0,39,1,1,0,7,14,11,4,49,88,425,483,71,318,36,73,112,125,9,37,30,14,25,7,28,177,51,88,471,537,105,336,30,121,113,110,9,37,33,8,0,0,5,173,36,1,0,6,1,5,16,24,28,7,1,22,7,15,22,37,1,0,0,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,2,0,1,0,2,0,8,2,2.0,0,0,10,3,9,6.723333333333334,6.77,1.0,0.5,1,Win,1.0,0.5
Kairat Almaty,Real Madrid,1,0,5,0,0,4,1,11,4,6,1,0,0,0,1,5,20,12,6,2,0,0,0,5,2,0,0,0,0,27,0,3,1,5,16,7,3,4,1,0,1,62,1,6,0,27,25,26,14,38,77,248,323,78,149,21,54,61,57,9,17,13,5,18,2,11,170,62,89,552,618,188,330,34,97,150,150,6,58,56,20,27,4,15,176,40,1,1,22,15,7,20,27,44,2,0,16,12,4,8,11,5,0,0,7,0,0,0,2,1,1,0,0,0,1,4,0,0,0,1,1,0,0,2,0,6,2,3.0,0,0,9,1,3,6.723333333333334,6.77,0.0,0.4166666666666667,-5,Loss,0.0,2.5
Inter,Slavia Praha,1,3,0,3,0,0,0,21,6,8,7,0,0,0,2,2,3,1,1,1,0,0,0,1,1,2,0,0,0,75,0,5,0,22,17,14,8,0,0,0,0,26,0,0,0,15,2,3,1,57,91,515,569,98,371,46,95,147,144,17,55,41,14,75,9,12,172,43,86,362,422,77,242,43,83,81,90,13,30,15,4,14,1,7,172,39,1,0,15,4,11,12,14,37,7,0,19,1,18,11,14,0,0,1,1,0,0,0,1,1,0,1,3,0,0,3,0,0,0,1,1,0,1,2,0,13,2,2.0,1,0,17,2,6,6.723333333333334,6.77,0.5,0.0,3,Win,3.0,0.0
Chelsea,Benfica,1,1,0,0,0,0,0,8,3,4,1,0,0,0,0,3,9,3,3,3,0,0,0,0,1,1,0,0,0,43,0,3,1,16,7,10,9,0,0,0,0,32,0,5,2,16,11,10,5,55,89,462,517,94,306,62,100,114,120,15,52,24,9,19,3,16,179,45,84,346,411,80,236,30,75,82,89,14,26,10,9,27,4,15,182,42,3,0,29,7,22,17,21,38,1,0,22,4,18,13,16,0,0,1,3,0,0,0,2,0,2,0,1,1,0,3,0,0,0,2,0,2,1,4,1,13,1,6.0,6,0,14,3,7,6.723333333333334,6.77,0.3333333333333333,0.0,1,Win,3.0,0.0
Atleti,Frankfurt,1,5,1,5,0,1,0,18,12,4,2,0,0,0,1,2,6,2,1,3,0,0,0,0,1,3,1,0,0,45,0,5,2,17,13,9,10,1,0,0,0,33,0,2,0,15,11,7,6,52,92,548,598,184,310,54,110,143,123,5,43,32,13,39,7,18,165,48,87,481,552,161,276,44,130,102,121,13,39,22,4,0,0,13,170,37,3,0,16,9,7,16,22,33,2,1,10,1,9,16,19,1,0,0,1,0,0,0,0,0,0,0,5,0,0,7,0,0,0,1,0,1,0,1,0,11,0,2.0,1,0,6,2,4,6.723333333333334,6.77,0.4166666666666667,0.5,4,Win,4.0,0.5
Bodo,Tottenham,1,2,2,2,0,1,0,17,4,6,7,1,1,0,1,1,8,3,3,2,1,0,1,0,1,2,0,1,1,52,1,4,3,15,18,16,7,2,0,0,0,38,0,5,2,13,16,11,4,51,88,444,502,98,309,37,90,115,123,8,50,34,14,44,8,18,159,49,88,385,437,93,253,39,102,91,102,14,30,21,8,17,4,24,161,39,2,0,16,8,8,19,20,38,7,1,13,6,7,20,20,2,1,0,2,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,11,4,6.0,2,0,7,2,5,6.723333333333334,6.77,0.5,0.6666666666666666,0,Draw,2.0,1.0
Marseille,Ajax,1,4,0,2,2,0,0,8,6,1,1,0,0,0,2,1,13,2,5,6,0,0,0,1,1,4,0,0,0,18,0,0,0,7,14,10,3,0,0,0,0,42,1,7,2,3,19,15,6,48,85,424,497,89,311,24,103,124,100,14,12,8,5,0,0,3,150,52,87,462,532,103,329,30,94,134,118,18,37,27,8,20,2,10,149,29,6,0,16,4,12,13,14,42,1,0,13,5,8,4,6,0,0,1,2,0,0,0,4,1,3,0,4,0,0,2,0,0,0,0,0,0,0,2,0,18,7,12.0,3,0,12,0,1,6.723333333333334,6.77,0.6666666666666666,0.0,4,Win,4.0,0.5
